# Step Torsion_Angles(rad)...
    780000    1.5234    3.0016    2.8785    2.0283    3.1013    0.4435    1.5851    2.8824    2.6673    0.8209    2.7454    0.9843    2.7832    1.2880    0.2193    2.7641    1.6076
    790000    1.0604    3.0888    3.0244    2.9432    2.8638    3.0912    2.7337    2.5971    2.7470    0.1258    0.4979    3.0239    0.9893    2.5150    2.8695    2.2256    2.0297
    800000    1.9930    3.1229    0.2132    0.4150    1.7255    1.8604    2.2256    1.8882    1.5511    1.5031    2.9639    1.7713    2.8872    0.0869    2.3889    3.0873    3.0652
    810000    1.3250    3.1233    3.1119    0.3572    3.1081    2.5390    1.8782    2.3294    2.3615    0.0833    2.8779    2.7431    2.4010    0.0930    2.8613    2.0098    3.0930
    820000    1.4347    2.9434    2.8532    2.0519    3.0075    0.5526    1.9532    1.1449    3.1352    1.3150    2.8494    1.5221    2.7525    1.8727    2.1484    2.1724    0.4222
    830000    1.1364    3.0483    2.4578    2.7681    2.5532    2.2351    2.8898    1.7314    1.7709    2.5413    2.6701    0.9251    2.5220    2.3938    0.3073    0.0731    2.1130
    840000    2.0506    3.0477    2.2011    3.0198    2.7315    2.1555    2.2246    1.1653    3.0579    0.2424    0.9485    0.0504    0.2602    1.0686    2.7352    2.9347    1.8433
    850000    1.7816    3.0392    3.1173    2.3121    3.0251    1.1649    2.5645    0.4912    2.9643    1.4010    1.6145    2.1739    2.5351    0.5137    1.3395    1.0677    2.9190
    860000    1.4508    3.0630    0.2779    2.7972    1.9592    1.9499    1.8910    2.6102    1.3804    1.6558    2.9854    3.1406    2.0520    0.2041    0.0013    1.1523    2.8016
    870000    1.1278    3.1132    2.6587    3.0743    2.7145    2.8688    2.7577    3.0492    2.4876    0.2008    2.5227    2.7614    3.1074    3.1230    2.2281    2.5006    1.5951
    880000    1.5739    3.0212    2.2490    2.2640    1.7518    0.4785    3.0960    0.5401    3.0206    0.6917    1.7868    0.3221    2.4959    0.0267    1.7896    0.7413    2.0929
    890000    1.9524    3.0961    1.8663    0.7130    2.4363    1.2728    2.8354    1.2268    2.8162    2.9835    3.1142    3.1323    2.7974    3.0364    3.0974    3.1124    3.0660
    900000    1.9634    3.1325    2.8892    2.7046    2.6474    2.0260    3.0215    2.0480    2.9762    2.6094    3.0763    2.3631    2.6613    2.6332    2.4897    2.2242    2.9456
    910000    2.0057    3.1414    2.7301    2.7801    3.0770    2.1747    2.9612    1.2873    2.9952    1.1007    2.3821    2.0624    3.0623    0.5564    2.2667    2.0646    2.0209
